VAL_TOT_observado,pred_lm,pred_arvore,ic_lm_lwr,ic_lm_upr,ic_arvore_lwr,ic_arvore_upr,residuo_lm,residuo_arvore
628.43,630.3566481578856,607.4491891891887,623.3277723472288,637.3855239685424,19.205763087361447,1195.692615291016,-1.9266481578856656,20.98081081081125
606.14,608.2531348500729,607.4491891891887,601.1582033578057,615.3480663423401,19.205763087361447,1195.692615291016,-2.1131348500729246,-1.3091891891887144
1408.46,1408.558926005189,1423.596666666667,1401.5045023233922,1415.6133496869859,835.3532405648398,2011.8400927684943,-0.09892600518901418,-15.136666666666997
1963.37,1961.0868656757189,1790.859025135478,1950.623991998892,1971.5497393525457,1202.6155990336508,2379.102451237305,2.2831343242810362,172.5109748645218
2485.24,2477.1806015766783,4129.365714285714,2458.9894763582124,2495.3717267951442,3541.1222881838867,4717.609140387541,8.059398423321454,-1644.125714285714
631.76,633.6587881002372,607.4491891891887,626.6386719220322,640.6789042784421,19.205763087361447,1195.692615291016,-1.8987881002371978,24.31081081081129
633.1,634.9875771461084,607.4491891891887,627.9709036767953,642.0042506154215,19.205763087361447,1195.692615291016,-1.887577146108356,25.650810810811322
708.5,710.707946752811,723.5862637362636,703.95341422509,717.4624792805321,135.34283763443636,1311.8296898380909,-2.20794675281104,-15.086263736263618
606.42,608.530792262643,607.4491891891887,601.4367697892645,615.6248147360214,19.205763087361447,1195.692615291016,-2.110792262643031,-1.0291891891887417
591.42,593.656288017816,607.4491891891887,586.5107758668977,600.8018001687343,19.205763087361447,1195.692615291016,-2.2362880178160367,-16.02918918918874
1798.8259079903146,1800.6850050660876,1790.859025135478,1792.4061612698963,1808.9638488622788,1202.6155990336508,2379.102451237305,-1.8590970757729792,7.966882854836513
1121.5,1139.3208412227507,870.2347442493946,1113.623697391812,1165.0179850536895,281.9913181475673,1458.4781703512217,-17.820841222750687,251.26525575060543
1074.02,1073.1577258597256,1152.7545454545452,1065.6642339217042,1080.651217797747,564.511119352718,1740.9979715563725,0.8622741402743941,-78.73454545454524
615.76,617.7926502390884,607.4491891891887,610.727800943241,624.8574995349358,19.205763087361447,1195.692615291016,-2.0326502390884116,8.31081081081129
614.42,616.4638611932173,607.4491891891887,609.3949640527546,623.53275833368,19.205763087361447,1195.692615291016,-2.043861193217367,6.970810810811258
612.38,614.4409286159207,607.4491891891887,607.3657803485762,621.5160768832652,19.205763087361447,1195.692615291016,-2.060928615920716,4.930810810811295
599.42,601.5893569483903,607.4491891891887,594.4720118723295,608.7067020244511,19.205763087361447,1195.692615291016,-2.169356948390373,-8.029189189188742
598.42,600.5977233320685,607.4491891891887,593.4769452705455,607.7185013935916,19.205763087361447,1195.692615291016,-2.177723332068581,-9.029189189188742
606.42,608.530792262643,607.4491891891887,601.4367697892645,615.6248147360214,19.205763087361447,1195.692615291016,-2.110792262643031,-1.0291891891887417
872.19,873.0169200940489,941.7831250000002,866.382440057592,879.6514001305059,353.5396988981729,1530.0265511018274,-0.8269200940488872,-69.5931250000001
1376.62,1396.9792228314222,1334.5775,1367.0088026677597,1426.9496429950848,746.3340738981728,1922.8209261018274,-20.359222831422358,42.04249999999979
636.38,638.2401354076438,607.4491891891887,631.2316892641819,645.2485815511058,19.205763087361447,1195.692615291016,-1.8601354076438383,28.930810810811295
3619.7799999999997,3623.995611154958,4129.365714285714,3602.8452402815583,3645.145982028358,3541.1222881838867,4717.609140387541,-4.215611154958424,-509.58571428571395
1798.8259079903146,1800.6850050660876,1790.859025135478,1792.4061612698963,1808.9638488622788,1202.6155990336508,2379.102451237305,-1.8590970757729792,7.966882854836513
1987.09,1991.0397554169247,1790.859025135478,1980.7942914483501,2001.2852193854992,1202.6155990336508,2379.102451237305,-3.949755416924745,196.23097486452184
627.21,629.6166859567544,607.4491891891887,622.5950025969881,636.6383693165207,19.205763087361447,1195.692615291016,-2.406685956754359,19.760810810811336
601.1,603.2553014238109,607.4491891891887,596.1436669600026,610.3669358876192,19.205763087361447,1195.692615291016,-2.155301423810897,-6.349189189188678
582.42,584.7315854709198,607.4491891891887,577.5524794866242,591.9106914552153,19.205763087361447,1195.692615291016,-2.3115854709197947,-25.02918918918874
596.43,598.6243724355882,607.4491891891887,591.496687834095,605.7520570370813,19.205763087361447,1195.692615291016,-2.194372435588207,-11.01918918918875
624.21,626.1719542970076,607.4491891891887,619.131560637049,633.2123479569661,19.205763087361447,1195.692615291016,-1.9619542970075372,16.760810810811336
1798.8259079903146,1800.6850050660876,1790.859025135478,1792.4061612698963,1808.9638488622788,1202.6155990336508,2379.102451237305,-1.8590970757729792,7.966882854836513
647.76,649.5249259613859,723.5862637362636,642.5428148299868,656.5070370927849,135.34283763443636,1311.8296898380909,-1.7649259613858703,-75.82626373626363
1501.07,1495.6958071049366,1423.596666666667,1482.9592151136092,1508.4323990962641,835.3532405648398,2011.8400927684943,5.374192895063288,77.4733333333329
1798.8259079903146,1800.6850050660876,1790.859025135478,1792.4061612698963,1808.9638488622788,1202.6155990336508,2379.102451237305,-1.8590970757729792,7.966882854836513
1273.96,1295.1781157798268,1334.5775,1264.0843446028337,1326.27188695682,746.3340738981728,1922.8209261018274,-21.218115779826803,-60.617500000000064
614.42,616.4638611932173,607.4491891891887,609.3949640527546,623.53275833368,19.205763087361447,1195.692615291016,-2.043861193217367,6.970810810811258
642,643.8131163313724,723.5862637362636,636.8181057787782,650.8081268839666,135.34283763443636,1311.8296898380909,-1.8131163313723846,-81.58626373626362
1798.8259079903146,1800.6850050660876,1790.859025135478,1792.4061612698963,1808.9638488622788,1202.6155990336508,2379.102451237305,-1.8590970757729792,7.966882854836513
1880.6699999999998,1875.4087435361594,1790.859025135478,1862.2229034883271,1888.5945835839916,1202.6155990336508,2379.102451237305,5.261256463840482,89.81097486452177
608.21,610.3058164358588,607.4491891891887,603.2175579637417,617.3940749079759,19.205763087361447,1195.692615291016,-2.095816435858751,0.7608108108113356
8232.5,8241.464807604583,4129.365714285714,8184.042884104935,8298.88673110423,3541.1222881838867,4717.609140387541,-8.964807604583257,4103.134285714286
582.42,584.7315854709198,607.4491891891887,577.5524794866242,591.9106914552153,19.205763087361447,1195.692615291016,-2.3115854709197947,-25.02918918918874
718.8299999999999,720.0003270733758,723.5862637362636,713.1032665151984,726.8973876315533,135.34283763443636,1311.8296898380909,-1.1703270733759155,-4.756263736263691
930.05,930.6277565398187,941.7831250000002,923.9810753297918,937.2744377498457,353.5396988981729,1530.0265511018274,-0.577756539818779,-11.7331250000002
4581.04,4558.9706727613075,4129.365714285714,4516.882183299099,4601.059162223516,3541.1222881838867,4717.609140387541,22.069327238692495,451.67428571428627
733.3,735.3004604375916,723.5862637362636,728.6138006708867,741.9871202042965,135.34283763443636,1311.8296898380909,-2.0004604375916415,9.713736263736337
718.1,720.2276294695002,723.5862637362636,713.5013629915478,726.9538959474527,135.34283763443636,1311.8296898380909,-2.1276294695002207,-5.486263736263595
718.1,720.2276294695002,723.5862637362636,713.5013629915478,726.9538959474527,135.34283763443636,1311.8296898380909,-2.1276294695002207,-5.486263736263595
3026.1,3030.115033914991,4129.365714285714,3013.2249295084443,3047.0051383215373,3541.1222881838867,4717.609140387541,-4.015033914990909,-1103.2657142857138
766.1,767.8260430529464,723.5862637362636,761.2028923475857,774.449193758307,135.34283763443636,1311.8296898380909,-1.726043052946352,42.513736263736405
727.7,729.7473121861894,723.5862637362636,723.0468003342796,736.4478240380993,135.34283763443636,1311.8296898380909,-2.0473121861894015,4.113736263736428
698.9,701.1882640361217,723.5862637362636,694.4029854210296,707.9735426512138,135.34283763443636,1311.8296898380909,-2.2882640361217454,-24.68626373626364
742.9,744.8201431542807,723.5862637362636,738.1552031413938,751.4850831671675,135.34283763443636,1311.8296898380909,-1.9201431542807086,19.31373626373636
1798.8259079903146,1800.6850050660876,1790.859025135478,1792.4061612698963,1808.9638488622788,1202.6155990336508,2379.102451237305,-1.8590970757729792,7.966882854836513
1388.54,1386.4849600920677,1423.596666666667,1377.7786537898078,1395.1912663943276,835.3532405648398,2011.8400927684943,2.0550399079322688,-35.05666666666707
1123.1399999999999,1121.8673761100033,1152.7545454545452,1114.0281591396722,1129.7065930803344,564.511119352718,1740.9979715563725,1.2726238899965665,-29.61454545454535
1080.9,1080.555616830744,1152.7545454545452,1073.4886362908562,1087.6225973706316,564.511119352718,1740.9979715563725,0.34438316925616164,-71.85454545454513
829.4599999999999,831.369193430987,870.2347442493946,824.9159682018275,837.8224186601466,281.9913181475673,1458.4781703512217,-1.9091934309871021,-40.774744249394644
818.66,820.6595503747116,870.2347442493946,814.186902997877,827.1321977515461,281.9913181475673,1458.4781703512217,-1.999550374711589,-51.5747442493946
1798.8259079903146,1800.6850050660876,1790.859025135478,1792.4061612698963,1808.9638488622788,1202.6155990336508,2379.102451237305,-1.8590970757729792,7.966882854836513
708.5,710.707946752811,723.5862637362636,703.95341422509,717.4624792805321,135.34283763443636,1311.8296898380909,-2.20794675281104,-15.086263736263618
746.9,748.7866776195679,723.5862637362636,742.130026989543,755.4433282495927,135.34283763443636,1311.8296898380909,-1.8866776195678767,23.31373626373636
814.9599999999999,816.5589172262776,870.2347442493946,810.0373466966811,823.0804877558741,281.9913181475673,1458.4781703512217,-1.5989172262776492,-55.274744249394644
727.7,729.7473121861894,723.5862637362636,723.0468003342796,736.4478240380993,135.34283763443636,1311.8296898380909,-2.0473121861894015,4.113736263736428
873,874.289974134051,941.7831250000002,867.8222420356032,880.7577062324989,353.5396988981729,1530.0265511018274,-1.2899741340510218,-68.78312500000015
9129.29,9120.189830391495,4129.365714285714,9059.746977120922,9180.632683662068,3541.1222881838867,4717.609140387541,9.100169608505894,4999.924285714287
718.1,720.2276294695002,723.5862637362636,713.5013629915478,726.9538959474527,135.34283763443636,1311.8296898380909,-2.1276294695002207,-5.486263736263595
943.5,947.019128949426,941.7831250000002,940.2992467501721,953.7390111486799,353.5396988981729,1530.0265511018274,-3.5191289494259763,1.7168749999998454
814.16,816.1971991012634,870.2347442493946,809.7154606320886,822.6789375704383,281.9913181475673,1458.4781703512217,-2.037199101263468,-56.0747442493946
582.42,584.7315854709198,607.4491891891887,577.5524794866242,591.9106914552153,19.205763087361447,1195.692615291016,-2.3115854709197947,-25.02918918918874
612.43,614.4905102967369,607.4491891891887,607.415516521943,621.5655040715309,19.205763087361447,1195.692615291016,-2.060510296736993,4.980810810811249
638.03,639.8763308745749,607.4491891891887,632.8719160892445,646.8807456599054,19.205763087361447,1195.692615291016,-1.84633087457496,30.580810810811272
632.24,634.1347722360716,607.4491891891887,627.1158946962674,641.1536497758758,19.205763087361447,1195.692615291016,-1.894772236071617,24.79081081081131
598.42,600.5977233320685,607.4491891891887,593.4769452705455,607.7185013935916,19.205763087361447,1195.692615291016,-2.177723332068581,-9.029189189188742
1170.98,1169.0722129094474,1152.7545454545452,1160.6130982354584,1177.5313275834365,564.511119352718,1740.9979715563725,1.9077870905525742,18.225454545454795
625.02,626.9751775262283,607.4491891891887,619.9370307000411,634.0133243524156,19.205763087361447,1195.692615291016,-1.95517752622834,17.57081081081128
606.42,608.530792262643,607.4491891891887,601.4367697892645,615.6248147360214,19.205763087361447,1195.692615291016,-2.110792262643031,-1.0291891891887417
590.42,592.6646544014942,607.4491891891887,585.5155088002036,599.8138000027848,19.205763087361447,1195.692615291016,-2.2446544014942447,-17.02918918918874
708.5,710.707946752811,723.5862637362636,703.95341422509,717.4624792805321,135.34283763443636,1311.8296898380909,-2.20794675281104,-15.086263736263618
1150.42,1149.1540565686525,1152.7545454545452,1141.3311674338074,1156.9769457034977,564.511119352718,1740.9979715563725,1.265943431347523,-2.3345454545451503
911.07,911.5831684111168,941.7831250000002,904.8706205571721,918.2957162650616,353.5396988981729,1530.0265511018274,-0.5131684111167942,-30.713125000000105
598.42,600.5977233320685,607.4491891891887,593.4769452705455,607.7185013935916,19.205763087361447,1195.692615291016,-2.177723332068581,-9.029189189188742
614.42,616.4638611932173,607.4491891891887,609.3949640527546,623.53275833368,19.205763087361447,1195.692615291016,-2.043861193217367,6.970810810811258
773.3599999999999,774.0741081714033,723.5862637362636,767.1478211323209,781.0003952104856,135.34283763443636,1311.8296898380909,-0.7141081714033817,49.77373626373628
